Name,Team,Batting_Hand,Matches,Innings,Runs,Highest,Average,BF,SR,100,4,6
Prabhsimran Singh,Punjab Kings,Right,3,3,31,16,10.33,32,96.88,0,3,1
Andrew Tye,Rajasthan Royals,Right,27,13,91,25,10.11,76,119.74,0,6,5
Harshal Patel,Delhi Capitals,Right,48,20,128,36,9.85,93,137.63,0,5,9
Harshal Patel,Royal Challengers Bangalore,Right,48,20,128,36,9.85,93,137.63,0,5,9
Kuldeep Yadav,Kolkata Knight Riders,Left,45,11,57,16,9.5,75,76,0,5,0
Ishant Sharma,Delhi Capitals,Right,90,25,55,10,9.17,61,90.16,0,4,2
Jaydev Unadkat,Rajasthan Royals,Right,80,18,64,26,9.14,67,95.52,0,6,1
Mayank Markande,Rajasthan Royals,Right,17,8,27,7,9,29,93.1,0,3,0
Sandeep Sharma,Sunrisers Hyderabad,Right,92,23,44,9,8.8,57,77.19,0,3,0
Umesh Yadav,Delhi Capitals,Right,121,38,122,24,8.71,128,95.31,0,11,4
Rashid Khan,Sunrisers Hyderabad,Right,62,25,139,34,8.69,93,149.46,0,8,11
Rahul Chahar,Mumbai Indians,Right,31,6,17,10,8.5,17,100,0,2,0
Imran Tahir,Chennai Super Kings,Right,58,9,33,13,8.25,37,89.19,0,5,0
KC Cariappa,Rajasthan Royals,Right,11,5,24,12,8,21,114.29,0,0,2
Shardul Thakur,Chennai Super Kings,Right,45,10,48,15,8,42,114.29,0,5,1
Nathan Coulter-Nile,Mumbai Indians,Right,33,15,77,24,7.7,65,118.46,0,7,4
Kamlesh Nagarkoti,Kolkata Knight Riders,Right,10,6,22,8,7.33,31,70.97,0,1,0
Bhuvneshwar Kumar,Sunrisers Hyderabad,Right,121,44,183,24,7.32,194,94.33,0,17,3
Ravi Bishnoi,Punjab Kings,Right,14,3,7,6,7,12,58.33,0,1,0
Chris Jordan,Punjab Kings,Right,20,7,32,13,6.4,36,88.89,0,2,0
Vishnu Vinod,Delhi Capitals,Right,3,3,19,9,6.33,26,73.08,0,1,1
Mohammed Shami,Punjab Kings,Right,63,19,56,21,5.6,56,100,0,5,2
Varun Chakravarthy,Kolkata Knight Riders,Right,14,3,10,7,5,15,66.67,0,0,0
Shivam Mavi,Kolkata Knight Riders,Right,17,7,23,9,4.6,29,79.31,0,2,0
Trent Boult,Mumbai Indians,Right,48,6,12,6,4,15,80,0,0,1
Kartik Tyagi,Rajasthan Royals,Right,10,3,4,2,4,6,66.67,0,0,0
Mujeeb Ur Rahman,Sunrisers Hyderabad,Right,18,6,11,10,3.67,14,78.57,0,2,0
Yuzvendra Chahal,Royal Challengers Bangalore,Right,99,16,22,4,3.67,51,43.14,0,0,0
Adam Milne,Mumbai Indians,Right,5,3,7,5,3.5,12,58.33,0,0,0
Shahbaz Nadeem,Sunrisers Hyderabad,Right,71,21,39,6,3,86,45.35,0,2,0
Jayant Yadav,Mumbai Indians,Right,14,2,6,5,3,10,60,0,0,0
Siddarth Kaul,Sunrisers Hyderabad,Right,46,10,12,7,3,28,42.86,0,0,0
Prasidh Krishna,Kolkata Knight Riders,Right,24,5,3,2,3,11,27.27,0,0,0
Adam Zampa,Royal Challengers Bangalore,Right,14,2,5,5,2.5,8,62.5,0,1,0
Murugan Ashwin,Punjab Kings,Right,31,6,8,4,2,12,66.67,0,0,0
Mustafizur Rahman,Rajasthan Royals,Left,24,2,1,1,1,3,33.33,0,0,0
Ravisrinivasan Sai Kishore,Chennai Super Kings,Left,0,0,0,0,0,0,0,0,0,0
Josh Hazlewood,Chennai Super Kings,Left,3,0,0,0,0,0,0,0,0,0
T Natarajan,Sunrisers Hyderabad,Left,22,3,3,3,0,5,60,0,0,0
Anukul Roy,Mumbai Indians,Left,1,0,0,0,0,0,0,0,0,0
Hari Nishanth,Chennai Super Kings,Left,0,0,0,0,0,0,0,0,0,0
Marco Jansen,Mumbai Indians,Right,0,0,0,0,0,0,0,0,0,0
Arjun Tendulkar,Mumbai Indians,Left,0,0,0,0,0,0,0,0,0,0
KM Asif,Chennai Super Kings,Right,2,0,0,0,0,0,0,0,0,0
Kyle Jamieson,Royal Challengers Bangalore,Right,0,0,0,0,0,0,0,0,0,0
Lungi Ngidi,Chennai Super Kings,Right,11,0,0,0,0,0,0,0,0,0
Akash Singh,Rajasthan Royals,Right,0,0,0,0,0,0,0,0,0,0
